invoicedate,quantity
2009-12-01,12
2009-12-01,12
2009-12-01,24
2009-12-01,12
2009-12-01,2
2009-12-01,12
2009-12-01,6
2009-12-01,48
2009-12-01,12
2009-12-01,12
2009-12-01,24
2009-12-01,6
2009-12-01,3
2009-12-01,1
2009-12-01,24
2009-12-01,24
2009-12-01,10
2009-12-01,24
2009-12-01,12
2010-01-22,24
2010-01-22,24
2010-01-22,12
2010-01-22,24
2010-01-22,48
2010-01-22,8
2010-01-22,12
2010-01-22,24
2010-01-22,24
2010-02-23,36
2010-02-23,24
2010-02-23,24
2010-02-23,2
2010-02-23,24
2010-02-23,5
2010-02-23,3
2010-02-23,3
2010-02-23,3
2010-02-23,5
2010-03-18,9
2010-03-18,5
2010-03-18,36
2010-03-18,12
2010-03-18,4
2010-03-18,1
2010-03-18,6
2010-03-18,12
2010-03-18,72
2010-03-18,96
2010-04-15,1
2010-04-15,1
2010-04-15,2
2010-04-15,24
2010-04-15,24
2010-04-15,1
2010-04-15,12
2010-04-15,4
2010-04-15,12
2010-04-15,24
2010-04-15,12
2010-04-15,12
2010-05-02,24
2010-05-02,12
2010-05-02,12
2010-05-02,40
2010-05-02,12
2010-05-02,4
2010-05-02,48
2010-05-02,24
2010-05-02,36
2010-05-02,36
2010-05-02,24
2010-05-02,12
2010-05-02,2
2010-05-02,2
2010-06-23,10
2010-06-23,2
2010-06-23,12
2010-06-23,6
2010-06-23,6
2010-06-23,36
2010-06-23,36
2010-06-23,40
2010-06-23,24
2010-06-23,24
2010-06-23,12
2010-07-08,12
2010-07-08,2
2010-07-08,12
2010-07-08,12
2010-07-08,24
2010-07-08,24
2010-07-08,24
2010-07-08,36
2010-07-08,6
2010-07-08,8
2010-07-08,12
2010-07-08,2
2010-07-08,8
2010-07-08,1
2010-07-08,1
2010-07-08,15
2010-07-08,12
2010-07-08,12
2010-07-08,12
2010-09-23,60
2010-09-23,3
2010-09-23,36
2010-09-23,8
2010-09-23,10
2010-09-23,6
2010-09-23,12
2010-09-23,12
2010-09-23,12
2010-09-23,12
2010-09-23,12
2010-09-23,24
2010-09-23,24
2010-09-23,6
2010-09-23,12
2010-09-23,6
2010-09-23,12
2010-09-23,5
2010-12-06,4
2010-12-06,36
2010-12-06,36
2010-12-06,5
2010-12-06,5
2010-12-06,6
2010-12-06,8
2010-12-06,36
2010-12-06,4
2010-12-06,3
2010-12-06,2
2010-12-06,2
2010-12-06,3
2010-12-06,12
2010-12-06,2
2010-12-06,2
2010-12-06,12
2010-12-06,6
2011-03-23,16
2011-03-23,6
2011-03-23,48
2011-03-23,48
2011-03-23,24
2011-03-23,24
2011-03-23,48
2011-03-23,4
2011-03-23,1
2011-03-23,6
2011-03-23,12
2011-03-23,8
2011-03-23,2
2011-03-23,12
2011-03-23,24
2011-03-23,12
2011-05-17,12
2011-05-17,6
2011-05-17,30
2011-05-17,4
2011-05-17,2
2011-05-17,6
2011-05-17,2
2011-05-17,6
2011-05-17,12
2011-05-17,2
2011-05-17,2
2011-05-17,3
2011-06-19,2
2011-06-19,8
2011-06-19,24
2011-06-19,12
2011-06-19,8
2011-06-19,8
2011-06-19,36
2011-06-19,48
2011-07-29,2
2011-07-29,24
2011-07-29,12
2011-07-29,96
2011-07-29,60
2011-07-29,48
2011-07-29,24
2011-07-29,4
2011-07-29,12
2011-07-29,16
2011-07-29,16
2011-07-29,16
2011-11-22,6
2011-11-22,4
2011-11-22,12
2011-11-22,24
2011-11-22,36
2011-11-22,36
2011-11-22,2
2011-11-22,12
2011-11-22,12
2011-11-22,8
2011-11-22,6
2011-11-22,6
2011-11-22,6
2011-11-22,2
2011-11-22,4
2011-11-22,18
2009-12-01,32
2009-12-01,32
2009-12-01,12
2009-12-01,12
2009-12-01,12
2009-12-01,12
2009-12-01,6
2009-12-01,12
2009-12-01,24
2009-12-01,4
2009-12-01,24
2009-12-01,12
2009-12-01,12
2009-12-01,10
2009-12-01,10
2009-12-01,20
2009-12-01,10
2009-12-01,10
2009-12-01,24
2009-12-01,24
2009-12-01,10
2009-12-01,10
2009-12-01,10
2009-12-01,12
2009-12-01,12
2009-12-01,12
2009-12-01,2
2009-12-15,36
2009-12-15,24
2009-12-15,4
2009-12-15,24
2009-12-15,12
2009-12-15,40
2009-12-15,24
2009-12-15,24
2009-12-15,4
2009-12-15,6
2009-12-15,24
2009-12-15,24
2009-12-15,12
2009-12-15,4
2009-12-15,6
2009-12-15,6
2009-12-15,2
2009-12-15,24
2009-12-15,12
2009-12-15,12
2009-12-15,40
2010-01-27,24
2010-01-27,5
2010-01-27,6
2010-01-27,5
2010-01-27,8
2010-01-27,6
2010-01-27,2
2010-01-27,6
2010-01-27,4
2010-01-27,2
2010-01-27,12
2010-01-27,2
2010-01-27,12
2010-01-27,10
2010-01-27,10
2010-01-27,3
2010-01-27,12
2010-01-27,12
2010-01-27,12
2010-01-27,4
2010-01-27,5
2010-01-27,24
2010-01-27,24
2010-01-27,24
2010-01-27,2
2010-01-27,1
2010-01-27,5
2010-01-27,12
2010-01-27,12
2010-01-27,24
2010-01-27,25
2010-01-27,12
2010-01-27,24
2010-01-27,32
2010-01-27,10
2010-01-27,8
2010-01-27,10
2010-01-27,2
2010-01-27,4
2010-01-27,6
2010-01-27,6
2010-01-27,6
2010-01-27,10
2010-01-27,12
2010-01-27,12
2010-01-27,36
